Block,Area,Points,Measured Distance,Observer
0,16,1,12,1
0,16,1,10,1
0,16,1,24,2
0,16,1,28,3
0,16,1,24,4
0,16,1,24,4
0,16,1,24,4
0,16,2,30,1
0,16,2,11,3
0,16,2,14,4
0,16,3,28,1
0,16,3,23,2
0,16,3,26,3
0,16,3,30,4
0,16,4,45,4
0,16,5,,
0,16,6,20,1
0,16,6,12,1
0,16,6,21,2
0,16,6,21,2
0,16,6,12,3
0,16,6,23,4
0,16,6,23,4
0,16,7,37,3
0,16,7,26,4
0,16,7,26,4
0,16,7,26,4
0,16,8,27,4
0,16,9,18,3
0,16,9,26,4
0,16,10,31,1
0,16,10,8,2
0,16,10,8,2
0,16,10,31,4
0,16,11,21,4
0,16,12,,
0,16,13,17,2
0,16,13,17,2
0,16,13,12,3
0,16,14,11,2
0,16,14,28,2
0,16,15,50,3
0,16,15,20,3
0,16,15,24,4
0,16,16,19,2
1,16,1,48,1
1,16,1,13,3
1,16,2,17,1
1,16,2,17,1
1,16,2,6,2
1,16,2,6,2
1,16,2,27,2
1,16,2,27,2
1,16,2,5,2
1,16,2,9,3
1,16,2,9,3
1,16,2,7,4
1,16,2,15,4
1,16,2,15,4
1,16,3,39,1
1,16,3,12,3
1,16,4,18,1
1,16,4,39,2
1,16,4,13,3
1,16,5,29,1
1,16,5,11,2
1,16,5,23,4
1,16,5,15,4
1,16,6,31,1
1,16,6,20,2
1,16,6,20,2
1,16,6,14,2
1,16,6,50,2
1,16,6,37,4
1,16,7,31,1
1,16,7,5,1
1,16,7,9,2
1,16,7,14,4
1,16,8,35,1
1,16,8,22,1
1,16,8,32,1
1,16,8,42,2
1,16,8,31,2
1,16,8,10,4
1,16,9,42,1
1,16,9,24,1
1,16,9,44,2
1,16,9,44,2
1,16,9,7,3
1,16,9,5,4
1,16,9,39,4
1,16,9,32,4
1,16,9,24,4
1,16,10,18,1
1,16,10,9,2
1,16,10,9,2
1,16,10,39,2
1,16,10,10,3
1,16,11,34,1
1,16,11,17,2
1,16,11,6,2
1,16,11,10,3
1,16,11,23,4
1,16,11,23,4
1,16,11,23,4
1,16,12,26,1
1,16,12,26,1
1,16,12,26,1
1,16,12,3,1
1,16,12,48,2
1,16,12,25,2
1,16,12,7,3
1,16,12,40,4
1,16,12,26,4
1,16,13,28,1
1,16,13,43,1
1,16,13,40,2
1,16,13,12,3
1,16,13,26,4
1,16,13,53,4
1,16,14,36,1
1,16,14,19,2
1,16,14,21,2
1,16,14,9,3
1,16,14,20,4
1,16,14,20,4
1,16,14,21,4
1,16,15,31,1
1,16,15,53,2
1,16,15,26,2
1,16,15,81,2
1,16,15,7,3
1,16,15,7,3
1,16,15,28,3
1,16,15,47,4
1,16,15,47,4
1,16,16,23,1
1,16,16,18,1
1,16,16,42,1
1,16,16,10,2
1,16,16,10,2
1,16,16,45,2
1,16,16,9,3
1,16,16,9,3
1,16,16,19,4
1,16,16,19,4
1,16,16,17,4
2,16,1,,
2,16,2,8,1
2,16,2,8,1
2,16,2,12,2
2,16,2,12,2
2,16,2,22,4
2,16,2,20,4
2,16,3,26,1
2,16,3,22,3
2,16,3,23,4
2,16,3,27,4
2,16,3,42,4
2,16,4,6,1
2,16,4,9,2
2,16,4,23,3
2,16,4,23,3
2,16,4,17,4
2,16,5,6,1
2,16,5,31,2
2,16,5,6,3
2,16,5,6,3
2,16,5,34,4
2,16,5,22,4
2,16,6,3,1
2,16,6,4,1
2,16,6,29,1
2,16,6,29,1
2,16,6,9,2
2,16,6,20,3
2,16,6,20,3
2,16,6,17,3
2,16,6,17,3
2,16,6,3,4
2,16,7,40,1
2,16,7,40,1
2,16,7,11,2
2,16,7,18,3
2,16,7,17,3
2,16,7,10,3
2,16,7,4,4
2,16,7,4,4
2,16,8,38,1
2,16,8,38,1
2,16,8,13,2
2,16,8,19,4
2,16,9,12,1
2,16,9,12,1
2,16,9,13,1
2,16,9,13,1
2,16,9,15,2
2,16,9,19,3
2,16,9,19,3
2,16,9,19,3
2,16,9,19,3
2,16,9,19,4
2,16,9,19,4
2,16,9,15,4
2,16,9,13,4
2,16,10,9,1
2,16,10,9,1
2,16,10,14,3
2,16,10,18,3
2,16,10,26,4
2,16,10,25,4
2,16,10,25,4
2,16,10,29,4
2,16,11,27,1
2,16,11,27,1
2,16,11,28,1
2,16,11,5,2
2,16,11,20,3
2,16,11,55,4
2,16,11,55,4
2,16,12,7,1
2,16,12,9,1
2,16,12,14,1
2,16,12,19,1
2,16,12,20,3
2,16,12,20,3
2,16,12,34,4
2,16,12,50,4
2,16,13,21,1
2,16,13,29,1
2,16,13,5,2
2,16,13,42,3
2,16,13,32,4
2,16,13,32,4
2,16,13,4,4
2,16,14,24,1
2,16,14,24,1
2,16,14,35,1
2,16,14,21,2
2,16,14,11,3
2,16,14,16,3
2,16,14,26,4
2,16,14,35,4
2,16,14,27,4
2,16,15,5,1
2,16,15,16,1
2,16,15,10,2
2,16,15,55,3
2,16,15,11,3
2,16,15,29,4
2,16,16,13,1
2,16,16,15,2
2,16,16,43,3
2,16,16,40,4
2,16,16,17,4
2,16,16,38,4
2,16,16,38,4
3,16,1,32,1
3,16,1,17,3
3,16,1,17,3
3,16,1,27,4
3,16,1,27,4
3,16,1,36,4
3,16,1,42,4
3,16,1,42,4
3,16,2,9,3
3,16,2,35,4
3,16,2,29,4
3,16,3,40,4
3,16,3,40,4
3,16,4,26,1
3,16,4,18,2
3,16,4,18,2
3,16,4,8,3
3,16,4,8,3
3,16,4,65,4
3,16,4,17,4
3,16,5,40,4
3,16,6,21,4
3,16,7,35,1
3,16,7,35,1
3,16,7,19,3
3,16,8,33,1
3,16,8,13,2
3,16,8,18,4
3,16,8,50,4
3,16,8,40,4
3,16,8,22,4
3,16,9,28,1
3,16,9,44,1
3,16,9,18,3
3,16,9,12,3
3,16,9,12,3
3,16,10,6,1
3,16,10,63,3
3,16,10,39,4
3,16,10,30,4
3,16,10,26,4
3,16,11,5,1
3,16,11,8,1
3,16,11,52,1
3,16,11,7,2
3,16,11,24,2
3,16,11,32,4
3,16,11,21,4
3,16,11,28,4
3,16,12,28,1
3,16,12,45,1
3,16,12,45,1
3,16,12,3,2
3,16,12,25,3
3,16,12,31,4
3,16,12,31,4
3,16,12,29,4
3,16,13,10,1
3,16,13,3,2
3,16,13,6,2
3,16,13,5,3
3,16,13,5,3
3,16,13,8,4
3,16,13,34,4
3,16,14,27,1
3,16,14,45,1
3,16,14,32,2
3,16,14,9,3
3,16,14,9,3
3,16,14,36,4
3,16,15,20,1
3,16,15,40,4
3,16,15,40,4
3,16,15,40,4
3,16,16,47,1
3,16,16,24,2
3,16,16,43,4
3,16,16,50,4
3,16,16,50,4
4,16,1,34,3
4,16,2,5,1
4,16,2,13,2
4,16,2,16,2
4,16,2,17,3
4,16,2,28,4
4,16,3,16,1
4,16,3,8,2
4,16,3,11,2
4,16,3,7,3
4,16,4,9,1
4,16,4,10,1
4,16,4,80,1
4,16,4,7,2
4,16,4,7,2
4,16,4,13,3
4,16,4,13,3
4,16,5,,
4,16,6,31,1
4,16,6,39,1
4,16,6,32,1
4,16,6,47,1
4,16,6,18,2
4,16,6,18,2
4,16,6,14,3
4,16,6,14,3
4,16,6,14,3
4,16,6,10,4
4,16,7,10,1
4,16,7,58,1
4,16,7,29,2
4,16,7,29,2
4,16,7,24,2
4,16,7,16,3
4,16,7,9,3
4,16,7,60,4
4,16,8,31,1
4,16,8,31,1
4,16,9,10,1
4,16,9,39,1
4,16,9,38,1
4,16,9,26,2
4,16,9,16,2
4,16,9,16,2
4,16,9,8,3
4,16,9,27,3
4,16,9,8,4
4,16,9,55,4
4,16,9,19,4
4,16,10,10,1
4,16,10,15,1
4,16,11,7,1
4,16,11,14,2
4,16,11,8,2
4,16,12,26,1
4,16,12,26,1
4,16,12,12,2
4,16,12,22,3
4,16,12,17,3
4,16,12,90,4
4,16,12,90,4
4,16,13,23,1
4,16,13,16,1
4,16,13,72,1
4,16,13,7,2
4,16,13,6,2
4,16,13,29,3
4,16,13,12,3
4,16,13,33,4
4,16,13,33,4
4,16,13,16,4
4,16,13,25,4
4,16,14,29,1
4,16,14,4,2
4,16,14,18,3
4,16,14,27,4
4,16,14,27,4
4,16,15,39,1
4,16,15,21,2
4,16,15,21,2
4,16,15,17,3
4,16,15,28,4
4,16,15,21,4
4,16,15,22,4
4,16,16,10,1
4,16,16,65,1
4,16,16,6,2
4,16,16,8,2
4,16,16,7,3
4,16,16,10,4
4,16,16,12,4
4,16,16,28,4
5,16,1,10,1
5,16,1,20,2
5,16,1,20,2
5,16,1,14,3
5,16,1,30,4
5,16,1,21,4
5,16,2,,
5,16,3,,
5,16,4,21,3
5,16,4,15,4
5,16,4,15,4
5,16,4,38,4
5,16,5,,
5,16,6,31,1
5,16,6,31,1
5,16,6,45,1
5,16,6,45,1
5,16,6,17,2
5,16,6,22,3
5,16,6,22,3
5,16,6,42,4
5,16,6,15,4
5,16,6,15,4
5,16,7,25,1
5,16,7,7,2
5,16,7,23,3
5,16,7,25,4
5,16,8,28,1
5,16,8,28,1
5,16,8,17,1
5,16,8,53,2
5,16,8,26,2
5,16,8,13,3
5,16,8,10,4
5,16,9,17,1
5,16,9,17,1
5,16,9,33,2
5,16,9,27,2
5,16,9,27,2
5,16,9,11,3
5,16,9,31,3
5,16,9,11,3
5,16,9,31,4
5,16,9,24,4
5,16,9,24,4
5,16,9,53,4
5,16,9,53,4
5,16,10,35,1
5,16,10,12,2
5,16,10,28,2
5,16,10,27,3
5,16,10,24,3
5,16,10,24,3
5,16,11,34,1
5,16,11,48,1
5,16,11,48,1
5,16,11,34,2
5,16,11,32,3
5,16,11,32,3
5,16,11,10,3
5,16,11,10,3
5,16,11,53,4
5,16,11,34,4
5,16,12,10,1
5,16,12,12,1
5,16,12,3,2
5,16,12,38,2
5,16,12,3,3
5,16,12,13,4
5,16,13,20,2
5,16,13,26,3
5,16,13,26,3
5,16,13,20,4
5,16,13,24,4
5,16,13,43,4
5,16,14,35,2
5,16,14,8,3
5,16,15,6,1
5,16,15,8,2
5,16,15,8,2
5,16,15,22,2
5,16,15,31,2
5,16,15,7,3
5,16,15,17,4
5,16,15,39,4
5,16,15,39,4
5,16,16,19,2
5,16,16,27,2
5,16,16,14,4
6,16,1,24,1
6,16,1,36,1
6,16,1,22,3
6,16,1,14,4
6,16,1,14,4
6,16,2,,
6,16,3,10,1
6,16,3,24,4
6,16,3,17,4
6,16,4,28,3
6,16,4,28,3
6,16,4,24,3
6,16,5,32,1
6,16,5,24,3
6,16,6,11,1
6,16,6,35,1
6,16,6,8,2
6,16,6,8,2
6,16,6,7,3
6,16,6,49,4
6,16,6,49,4
6,16,6,11,4
6,16,7,10,1
6,16,7,17,3
6,16,7,17,3
6,16,7,9,4
6,16,8,10,1
6,16,8,8,1
6,16,8,5,2
6,16,8,22,3
6,16,9,18,1
6,16,9,20,2
6,16,9,13,2
6,16,9,22,3
6,16,9,22,3
6,16,9,30,4
6,16,9,60,4
6,16,9,15,4
6,16,9,35,4
6,16,9,35,4
6,16,10,12,1
6,16,10,19,1
6,16,10,3,2
6,16,10,11,3
6,16,10,11,3
6,16,10,70,4
6,16,11,22,1
6,16,11,18,1
6,16,11,22,3
6,16,11,22,4
6,16,12,10,1
6,16,12,10,1
6,16,12,18,2
6,16,12,6,3
6,16,12,17,3
6,16,12,32,4
6,16,12,15,4
6,16,13,8,1
6,16,13,28,2
6,16,13,23,3
6,16,13,20,3
6,16,13,28,4
6,16,13,28,4
6,16,14,19,1
6,16,14,16,1
6,16,14,14,3
6,16,14,23,4
6,16,14,20,4
6,16,15,10,1
6,16,15,9,1
6,16,15,12,3
6,16,15,11,3
6,16,15,31,3
6,16,15,31,3
6,16,15,31,3
6,16,15,8,4
6,16,15,12,4
6,16,16,31,1
6,16,16,31,1
6,16,16,26,3
6,16,16,26,3
6,16,16,15,4
6,16,16,42,4
7,16,1,23,1
7,16,1,19,1
7,16,1,15,2
7,16,1,15,3
7,16,1,49,4
7,16,1,16,4
7,16,2,5,1
7,16,2,5,1
7,16,2,18,2
7,16,2,4,3
7,16,2,7,4
7,16,2,24,4
7,16,3,17,1
7,16,3,14,1
7,16,3,14,2
7,16,3,14,2
7,16,3,13,3
7,16,3,12,3
7,16,3,18,4
7,16,4,30,1
7,16,4,30,1
7,16,4,60,4
7,16,5,15,1
7,16,5,17,2
7,16,5,17,2
7,16,5,7,3
7,16,5,11,3
7,16,5,33,4
7,16,5,33,4
7,16,5,43,4
7,16,6,30,1
7,16,6,28,1
7,16,6,22,2
7,16,6,29,3
7,16,6,27,3
7,16,6,27,3
7,16,6,32,4
7,16,7,10,1
7,16,7,12,1
7,16,7,76,4
7,16,8,,
7,16,9,55,1
7,16,9,55,1
7,16,9,16,2
7,16,9,16,2
7,16,10,25,1
7,16,10,25,1
7,16,11,31,1
7,16,11,38,1
7,16,11,43,2
7,16,11,43,2
7,16,11,8,2
7,16,11,28,3
7,16,11,26,4
7,16,12,10,1
7,16,12,10,1
7,16,12,7,2
7,16,12,13,3
7,16,12,13,3
7,16,13,28,1
7,16,13,20,1
7,16,13,27,2
7,16,13,8,3
7,16,13,18,4
7,16,14,21,1
7,16,14,10,1
7,16,14,13,2
7,16,14,13,2
7,16,14,26,4
7,16,15,18,1
7,16,15,18,1
7,16,15,18,2
7,16,15,35,2
7,16,15,25,3
7,16,15,33,3
7,16,15,33,3
7,16,15,38,4
7,16,15,34,4
8,16,1,10,1
8,16,1,10,1
8,16,1,7,2
8,16,1,6,3
8,16,1,5,3
8,16,1,21,4
8,16,1,21,4
8,16,1,21,4
8,16,2,25,1
8,16,2,39,1
8,16,2,35,2
8,16,2,10,2
8,16,2,13,2
8,16,2,29,3
8,16,2,29,3
8,16,2,47,4
8,16,3,32,1
8,16,3,38,4
8,16,3,50,4
8,16,4,14,1
8,16,4,41,1
8,16,4,4,2
8,16,4,33,4
8,16,5,10,1
8,16,5,9,2
8,16,5,25,2
8,16,5,10,4
8,16,5,13,4
8,16,5,50,4
8,16,5,50,4
8,16,5,50,4
8,16,6,28,1
8,16,6,26,2
8,16,6,16,4
8,16,6,18,4
8,16,6,18,4
8,16,6,14,4
8,16,7,33,1
8,16,7,33,1
8,16,7,21,1
8,16,7,13,2
8,16,7,13,2
8,16,7,13,2
8,16,7,10,3
8,16,7,39,4
8,16,8,12,1
8,16,8,22,2
8,16,8,22,2
8,16,8,7,2
8,16,8,32,4
8,16,8,20,4
8,16,8,16,4
8,16,9,21,1
8,16,9,55,1
8,16,9,52,2
8,16,9,52,2
8,16,9,12,3
8,16,9,12,3
8,16,9,19,4
8,16,9,52,4
8,16,9,48,4
8,16,9,60,4
8,16,10,33,4
8,16,10,26,4
8,16,11,19,4
8,16,12,43,1
8,16,12,25,1
8,16,12,11,2
8,16,12,7,3
8,16,12,7,3
8,16,12,17,4
8,16,12,29,4
8,16,12,16,4
8,16,13,29,2
8,16,13,75,4
8,16,14,15,2
8,16,14,23,4
8,16,14,23,4
9,16,1,40,1
9,16,1,32,1
9,16,1,48,2
9,16,1,47,3
9,16,1,47,3
9,16,1,37,4
9,16,1,40,4
9,16,1,36,4
9,16,1,36,4
9,16,2,22,2
9,16,2,22,2
9,16,2,4,3
9,16,2,49,3
9,16,2,3,4
9,16,3,40,1
9,16,3,40,1
9,16,3,9,2
9,16,3,5,3
9,16,3,37,3
9,16,3,37,3
9,16,3,18,4
9,16,4,34,2
9,16,5,30,1
9,16,5,43,2
9,16,5,28,3
9,16,5,39,4
9,16,6,54,1
9,16,6,50,1
9,16,6,28,2
9,16,6,28,2
9,16,6,17,4
9,16,7,9,1
9,16,7,10,2
9,16,7,10,2
9,16,7,27,3
9,16,7,7,4
9,16,7,12,4
9,16,7,60,4
9,16,7,13,4
9,16,8,19,1
9,16,8,25,2
9,16,8,28,3
9,16,8,34,4
9,16,8,34,4
9,16,9,22,1
9,16,9,16,2
9,16,9,16,2
9,16,9,7,3
9,16,9,7,3
9,16,9,23,3
9,16,9,23,3
9,16,9,26,3
9,16,9,26,3
9,16,9,10,4
9,16,9,19,4
9,16,9,19,4
9,16,10,,
9,16,11,1,1
9,16,11,5,1
9,16,11,8,1
9,16,11,12,2
9,16,11,8,3
9,16,11,8,3
9,16,11,10,4
9,16,12,45,1
9,16,12,8,2
9,16,12,21,2
9,16,13,10,1
9,16,13,10,1
9,16,13,18,1
9,16,13,27,2
9,16,13,34,2
9,16,13,29,3
9,16,13,39,4
9,16,13,38,4
9,16,13,41,4
9,16,14,5,1
9,16,14,32,1
9,16,14,9,2
9,16,14,31,2
9,16,14,31,2
9,16,14,38,3
9,16,14,9,3
9,16,14,9,3
9,16,14,16,4
9,16,15,15,1
9,16,15,34,1
9,16,15,7,2
9,16,15,23,2
9,16,15,17,3
9,16,15,18,4
9,16,15,18,4
9,16,15,40,4